rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
1,1994,142,15,9.3,2.9,82.0,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.", The Shawshank Redemption
2,1972,175,15,9.2,2.0,100.0,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son., The Godfather
3,2008,152,12A,9.0,2.9,84.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.", The Dark Knight
4,2003,201,12A,9.0,2.0,94.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring., The Lord of the Rings: The Return of the King
5,1993,195,15,9.0,1.5,95.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.", Schindler's List
6,1957,96,U,9.0,871.0,97.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict., 12 Angry Men
7,1974,202,X,9.0,1.4,90.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.", The Godfather Part II
8,2001,178,PG,8.9,2.0,92.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron., The Lord of the Rings: The Fellowship of the Ring
9,1994,154,18,8.9,2.2,95.0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.", Pulp Fiction
10,2023,147,12A,8.9,119.0,81.0,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi., 12th Fail
11,2010,148,12A,8.8,2.6,74.0,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.", Inception
12,1999,139,15,8.8,2.3,67.0,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more., Fight Club
13,1994,142,12,8.8,2.3,82.0,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.", Forrest Gump
14,2002,179,12A,8.8,1.8,87.0,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.", The Lord of the Rings: The Two Towers
15,1966,148,18,8.8,815.0,90.0,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.," The Good, the Bad and the Ugly"
16,2014,169,12A,8.7,2.1,74.0,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.", Interstellar
17,1999,136,15,8.7,2.1,73.0,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.", The Matrix
18,1990,145,18,8.7,1.3,92.0,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.", GoodFellas
19,1975,133,15,8.7,1.1,84.0,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.", One Flew Over the Cuckoo's Nest
20,1980,124,U,8.7,1.4,82.0,"After the Rebel Alliance are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.", Star Wars: Episode V - The Empire Strikes Back
21,2021,164,Not Rated,8.7,218.0,81.0,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.", Jai Bhim
22,2020,153,15,8.7,124.0,81.0,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.", Soorarai Pottru
23,2022,164,12A,8.7,40.0,81.0,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it., 777 Charlie
24,2022,157,12A,8.7,59.0,81.0,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.", Rocketry: The Nambi Effect
25,2024,166,12A,8.6,450.0,79.0,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family., Dune: Part Two
26,1999,189,18,8.6,1.4,61.0,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.", The Green Mile
27,1998,169,15,8.6,1.5,91.0,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.", Saving Private Ryan
28,1995,127,18,8.6,1.8,65.0,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.", Seven
29,2023,140,PG,8.6,380.0,86.0,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.", Spider-Man: Across the Spider-Verse
30,1991,118,18,8.6,1.6,86.0,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.", The Silence of the Lambs
31,1977,121,U,8.6,1.5,90.0,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.", Star Wars: Episode IV - A New Hope
32,1991,137,15,8.6,1.2,75.0,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.", Terminator 2: Judgment Day
33,2001,125,PG,8.6,856.0,96.0,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.", Spirited Away
34,2002,130,18,8.6,805.0,79.0,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.", City of God
35,1997,116,PG,8.6,747.0,58.0,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.", Life Is Beautiful
36,1954,207,PG,8.6,369.0,98.0,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.", Seven Samurai
37,1946,130,U,8.6,501.0,89.0,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed., It's a Wonderful Life
38,1962,133,X,8.6,70.0,85.0,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.", Harakiri
39,1994,110,18,8.5,1.3,64.0,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.", Leon
40,2023,122,12A,8.5,32.0,81.0,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments.", Laapataa Ladies
41,2000,155,15,8.5,1.6,67.0,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery., Gladiator
42,1985,116,PG,8.5,1.3,87.0,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.", Back to the Future
43,1979,117,X,8.5,957.0,89.0,The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin., Alien
44,2019,132,15,8.5,971.0,97.0,Greed and class discrimination threaten the newly-formed symbiotic relationship between the wealthy Park family and the destitute Kim clan., Parasite
45,2006,151,18,8.5,1.4,85.0,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston., The Departed
46,2012,165,18,8.5,1.7,81.0,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.", Django Unchained
47,1960,109,15,8.5,722.0,97.0,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother., Psycho
48,2006,130,12A,8.5,1.4,66.0,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.", The Prestige
49,1994,88,U,8.5,1.1,88.0,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.", The Lion King
50,2014,106,15,8.5,999.0,89.0,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential., Whiplash
51,1995,106,18,8.5,1.2,76.0,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup., The Usual Suspects
52,1998,119,18,8.5,1.2,62.0,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.", American History X
53,2002,150,15,8.5,919.0,85.0,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.", The Pianist
54,1954,112,PG,8.5,525.0,100.0,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window and, despite the skepticism of his fashion-model girlfriend, becomes convinced one of them has committed murder.", Rear Window
55,1942,102,U,8.5,609.0,100.0,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco., Casablanca
56,1968,166,12,8.5,351.0,82.0,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad., Once Upon a Time in the West
57,2011,112,15,8.5,935.0,57.0,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.", Untouchable
58,1988,89,12A,8.5,313.0,94.0,A young boy and his little sister struggle to survive in Japan during World War II., Grave of the Fireflies
59,1988,174,PG,8.5,285.0,80.0,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist., Cinema Paradiso
60,1931,87,U,8.5,197.0,99.0,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.", City Lights
61,1936,87,U,8.5,261.0,96.0,The Tramp struggles to live in modern industrial society with the help of a young homeless woman., Modern Times
62,2022,163,12A,8.5,69.0,81.0,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.", Sita Ramam
63,2018,158,PG,8.5,37.0,81.0,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,96
64,2009,153,18,8.4,1.6,69.0,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.", Inglourious Basterds
65,1979,147,X,8.4,714.0,94.0,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god., Apocalypse Now
66,2019,181,12A,8.4,1.3,78.0,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.", Avengers: Endgame
67,1986,137,18,8.4,767.0,84.0,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.", Aliens
68,2019,122,15,8.4,1.5,59.0,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.", Joker
69,2012,164,12A,8.4,1.8,78.0,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.", The Dark Knight Rises
70,1980,146,X,8.4,1.1,68.0,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.", The Shining
71,2018,149,12A,8.4,1.2,68.0,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe., Avengers: Infinity War
72,1985,142,15,8.4,99.0,81.0,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.", Come and See
73,1984,160,PG,8.4,430.0,87.0,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.", Amadeus
74,2000,113,15,8.4,1.3,83.0,A man with short-term memory loss attempts to track down his wife's murderer., Memento
75,1950,110,PG,8.4,238.0,94.0,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return., Sunset Blvd
76,2017,105,PG,8.4,597.0,81.0,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.", Coco
77,1981,115,PG,8.4,1.0,86.0,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.", Raiders of the Lost Ark
78,2008,98,U,8.4,1.2,95.0,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.", WALLÂ·E
79,2018,117,PG,8.4,678.0,87.0,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities., Spider-Man: Into the Spider-Verse
80,2016,106,12A,8.4,325.0,81.0,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.", Your Name
81,2009,170,12A,8.4,437.0,67.0,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".", 3 Idiots
